# IPv4 signatures file (unwanted cloud services and non-human endpoints).
# Canonical link to the online version of this file: https://github.com/CIDRAM/CIDRAM/blob/master/vault/ipv4.dat


# ---
# ASN 46844 ("Sharktech").
# %Listed, Google Malware Dashboard: 37.21%.
# %Listed, CleanTalk.org: 32.62%.
# Stop Forum Spam (SFS) listings: 897.
# Updated: 2017.10.29

118.107.180.0/22 Deny Cloud
122.10.80.0/20 Deny Cloud
122.10.112.0/21 Deny Cloud
123.108.108.0/22 Deny Cloud
123.254.104.0/21 Deny Cloud
144.48.8.0/22 Deny Cloud
144.48.240.0/22 Deny Cloud
146.196.80.0/22 Deny Cloud
150.129.80.0/22 Deny Cloud
182.237.0.0/22 Deny Cloud
202.181.24.0/22 Deny Cloud
203.160.52.0/22 Deny Cloud
203.189.232.0/22 Deny Cloud
Tag: AS134121/AS133731


# ASN 38277 ("CommuniLink Internet").
# %Listed, Google Malware Dashboard: 5.22%.
# %Listed, CleanTalk.org: 26.92%.
# Stop Forum Spam (SFS) listings: 9.
# Updated: 2017.09.20

43.252.40.0/22 Deny Cloud
43.252.164.0/22 Deny Cloud
45.121.20.0/22 Deny Cloud
58.82.192.0/18 Deny Cloud
103.28.44.0/22 Deny Cloud
103.207.167.0/24 Deny Cloud
103.228.28.0/22 Deny Cloud
103.251.236.0/22 Deny Cloud
203.124.8.0/21 Deny Cloud
Tag: CommuniLink Internet


# ASN 26347 ("New Dream Network, LLC").
# %Listed, Google Malware Dashboard: 1.19%.
# %Listed, CleanTalk.org: 31.69%.
# Stop Forum Spam (SFS) listings: 214.
# Updated: 2017.10.23

64.90.32.0/19 Deny Cloud
64.111.96.0/19 Deny Cloud
66.33.192.0/19 Deny Cloud
67.205.0.0/18 Deny Cloud
69.163.128.0/17 Deny Cloud
75.119.192.0/19 Deny Cloud
173.236.128.0/17 Deny Cloud
204.145.97.0/24 Deny Cloud
205.196.208.0/20 Deny Cloud
208.97.128.0/18 Deny Cloud
208.113.128.0/17 Deny Cloud
Tag: New Dream Network


# ASNs 33182, 53055 ("HostDime.com, Inc").
# %Listed, Google Malware Dashboard: 0.79% (AS33182), 0.93% (AS53055).
# %Listed, CleanTalk.org: 64.08% (AS33182), 26.85% (AS53055).
# Stop Forum Spam (SFS) listings: 395 (AS33182), 0 (AS53055).
# Updated: 2017.10.23

5.226.173.0/24 Deny Cloud
8.10.120.0/24 Deny Cloud
8.33.160.0/20 Deny Cloud
23.92.60.0/23 Deny Cloud
23.239.129.0/24 Deny Cloud
23.239.130.0/24 Deny Cloud
23.239.132.0/24 Deny Cloud
23.239.134.0/23 Deny Cloud
23.239.140.0/24 Deny Cloud
23.239.145.0/24 Deny Cloud
23.239.146.0/24 Deny Cloud
23.239.150.0/23 Deny Cloud
23.239.157.0/24 Deny Cloud
23.239.159.0/24 Deny Cloud
23.249.224.0/23 Deny Cloud
45.59.16.0/24 Deny Cloud
45.59.31.0/24 Deny Cloud
63.142.244.0/22 Deny Cloud
64.37.48.0/20 Deny Cloud
66.7.192.0/19 Deny Cloud
66.195.16.0/22 Deny Cloud
66.195.124.0/22 Deny Cloud
66.195.240.0/22 Deny Cloud
67.23.224.0/19 Deny Cloud
72.29.64.0/19 Deny Cloud
